ip_addr,serial_num,Chain SN,MAC,Customer,Area,Racks,Model,Network,Fault Type,Fault cause,Work Mode,Ideal Hashrate,Real-time,Hashrate,Mining pool 1,Sub-account 1,Status 1,Mining pool 2,Sub-account 2,Status 2,Mining pool 3,Sub-account 3,Status 3,Firmware Version,Fan Speed,Hashboard,Temp,Running Time,Monitoring time
10.201.13.107,,,,,,,Z15-420K,Offline,,,Normal,420KH,0KH,0KH,stratum+tcp://stratum-zec.antpool.com:8899,PT-BOT-004.201x13x107,Alive,stratum+tcp://stratum-zec.antpool.com:443,PT-BOT-004.201x13x107,Alive,stratum+tcp://stratum-zec.antpool.com:25,PT-BOT-004.201x13x107,Alive,20200703,"4200,4200",0,,,2023-05-18 19:30:47
10.201.13.119,YDFTB9DBAJDJB0993,,76:B4:99:13:99:2E,,,,,Offline,,,Normal,0KH,0KH,0KH,stratum+tcp://stratum-zec.antpool.com:8899,PT-BOT-004.201x13x119,Alive,stratum+tcp://stratum-zec.antpool.com:443,PT-BOT-004.201x13x119,Alive,stratum+tcp://stratum-zec.antpool.com:25,PT-BOT-004.201x13x119,Alive,20200703,"4320,4320",0,,,2023-05-18 19:26:06
10.201.13.120,YDFTB9DBAJDJB0993,,C2:E3:0A:5B:B4:B7,,,,Z15-420K,Offline,,,Normal,420KH,0KH,0KH,stratum+tcp://stratum-zec.antpool.com:8899,PT-BOT-004.201x13x120,Alive,stratum+tcp://stratum-zec.antpool.com:443,PT-BOT-004.201x13x120,Alive,stratum+tcp://stratum-zec.antpool.com:25,PT-BOT-004.201x13x120,Alive,20200703,"4440,4440",0,,,2023-05-18 19:26:06
10.201.13.127,YDFTB9DBAJDJB0993,,F2:0E:1C:DE:4B:77,,,,Z15-420K,Offline,,,Normal,420KH,0KH,0KH,stratum+tcp://stratum-zec.antpool.com:8899,PT-BOT-004.201x13x127,Alive,stratum+tcp://stratum-zec.antpool.com:443,PT-BOT-004.201x13x127,Alive,stratum+tcp://stratum-zec.antpool.com:25,PT-BOT-004.201x13x127,Alive,20200703,"4440,4440",0,,,2023-05-18 19:26:06
10.201.13.13,YDFTB9DBAJDJB0993,,0C:97:17:4E:68:22,,,,Z15-420K,Offline,,,Normal,420KH,0KH,0KH,stratum+tcp://stratum-zec.antpool.com:8899,PT-BOT-004.201x13x13,Alive,stratum+tcp://stratum-zec.antpool.com:443,PT-BOT-004.201x13x13,Alive,stratum+tcp://stratum-zec.antpool.com:25,PT-BOT-004.201x13x13,Alive,20200703,"4200,4200",0,,,2023-05-18 19:26:06
10.201.13.156,,,,,,,Z15-420K,Offline,,,Normal,420KH,410.23KH,441.27KH,stratum+tcp://stratum-zec.antpool.com:8899,PT-BOT-004.201x13x156,Alive,stratum+tcp://stratum-zec.antpool.com:443,PT-BOT-004.201x13x156,Alive,stratum+tcp://stratum-zec.antpool.com:25,PT-BOT-004.201x13x156,Alive,20200703,"4080,4080",3,"47,46,46",5h23m16s,2023-05-18 19:26:51
10.201.13.16,YDFTB9DBAJDJB0993,,FE:25:68:A1:93:9B,,,,Z15-420K,Offline,,,Normal,420KH,0KH,0KH,stratum+tcp://stratum-zec.antpool.com:8899,PT-BOT-004.201x13x16,Alive,stratum+tcp://stratum-zec.antpool.com:443,PT-BOT-004.201x13x16,Alive,stratum+tcp://stratum-zec.antpool.com:25,PT-BOT-004.201x13x16,Alive,20200703,"4560,4560",0,,,2023-05-18 19:20:47
10.201.13.167,YDFTB9DBAJDJB0993,,D2:2A:E7:C8:E5:44,,,,Z15-420K,Offline,,,Normal,420KH,443KH,425.78KH,stratum+tcp://stratum-zec.antpool.com:8899,PT-BOT-004.201x13x167,Alive,stratum+tcp://stratum-zec.antpool.com:443,PT-BOT-004.201x13x167,Alive,stratum+tcp://stratum-zec.antpool.com:25,PT-BOT-004.201x13x167,Alive,20200703,"4200,4200",3,"47,47,47",5h19m18s,2023-05-18 19:27:02
10.201.13.180,YDFTB9DBAJDJB0993,,D6:45:1D:3D:5F:25,,,,Z15-300K,Offline,,,Normal,300KH,0KH,0KH,stratum+tcp://stratum-zec.antpool.com:8899,PT-BOT-004.201x13x180,Alive,stratum+tcp://stratum-zec.antpool.com:443,PT-BOT-004.201x13x180,Alive,stratum+tcp://stratum-zec.antpool.com:25,PT-BOT-004.201x13x180,Alive,20200703,"4200,4200",0,,,2023-05-18 19:20:47
10.201.13.19,YDFTB9DBAJDJB0993,,B2:48:DC:F8:C9:A1,,,,Z15-420K,Offline,,,Normal,420KH,0KH,0KH,stratum+tcp://stratum-zec.antpool.com:8899,PT-BOT-004.201x13x19,Alive,stratum+tcp://stratum-zec.antpool.com:443,PT-BOT-004.201x13x19,Alive,stratum+tcp://stratum-zec.antpool.com:25,PT-BOT-004.201x13x19,Alive,20200703,"4200,4320",0,,,2023-05-18 19:26:06
10.201.13.20,YDFTB9DBAJDJB0993,,7C:F3:B8:43:F7:98,,,,Z15-420K,Offline,,,Normal,420KH,0KH,0KH,stratum+tcp://stratum-zec.antpool.com:8899,PT-BOT-004.201x13x20,Alive,stratum+tcp://stratum-zec.antpool.com:443,PT-BOT-004.201x13x20,Alive,stratum+tcp://stratum-zec.antpool.com:25,PT-BOT-004.201x13x20,Alive,20200703,"4200,4200",0,,,2023-05-18 19:26:06
10.201.13.25,YDFTB9DBAJDJB0993,,D4:AF:FA:D7:4F:4C,,,,Z15-420K,Offline,,,Normal,420KH,0KH,0KH,stratum+tcp://stratum-zec.antpool.com:8899,PT-BOT-004.201x13x25,Alive,stratum+tcp://stratum-zec.antpool.com:443,PT-BOT-004.201x13x25,Alive,stratum+tcp://stratum-zec.antpool.com:25,PT-BOT-004.201x13x25,Alive,20200703,"4200,4200",0,,,2023-05-18 19:26:06
10.201.13.32,YDFTB9DBAJDJB0993,,08:22:D7:2E:6D:5C,,,,Z15-420K,Offline,,,Normal,420KH,0KH,0KH,stratum+tcp://stratum-zec.antpool.com:8899,PT-BOT-004.201x13x32,Alive,stratum+tcp://stratum-zec.antpool.com:443,PT-BOT-004.201x13x32,Alive,stratum+tcp://stratum-zec.antpool.com:25,PT-BOT-004.201x13x32,Alive,20200703,"4440,4440",0,,,2023-05-18 19:26:06
10.201.13.34,YDFTB9DBAJDJB0993,,D8:94:DE:3E:AD:35,,,,Z15-420K,Offline,,,Normal,420KH,0KH,0KH,stratum+tcp://stratum-zec.antpool.com:8899,PT-BOT-004.201x13x34,Alive,stratum+tcp://stratum-zec.antpool.com:443,PT-BOT-004.201x13x34,Alive,stratum+tcp://stratum-zec.antpool.com:25,PT-BOT-004.201x13x34,Alive,20200703,"4320,4320",0,,,2023-05-18 19:26:06
10.201.13.35,YDFTB9DBAJDJB0993,,4C:25:8F:23:0C:1C,,,,Z15-420K,Offline,,,Normal,420KH,428.58KH,438.68KH,stratum+tcp://stratum-zec.antpool.com:8899,PT-BOT-004.201x13x35,Alive,stratum+tcp://stratum-zec.antpool.com:443,PT-BOT-004.201x13x35,Alive,stratum+tcp://stratum-zec.antpool.com:25,PT-BOT-004.201x13x35,Alive,20200703,"4200,4200",3,"47,45,46",19h27m46s,2023-05-18 19:24:02
10.201.13.80,YDFTB9DBAJDJB0993,,BC:5B:23:97:81:57,,,,Z15-300K,Offline,,,Normal,300KH,0KH,0KH,stratum+tcp://stratum-zec.antpool.com:8899,PT-BOT-004.201x13x80,Alive,stratum+tcp://stratum-zec.antpool.com:443,PT-BOT-004.201x13x80,Alive,stratum+tcp://stratum-zec.antpool.com:25,PT-BOT-004.201x13x80,Alive,20200703,"4320,4320",0,,,2023-05-18 19:26:06
10.201.14.100,YDFTB9DBAJDJB0993,,A0:A8:CA:D5:43:1E,,,,,Offline,,,Normal,0KH,0KH,0KH,stratum+tcp://stratum-zec.antpool.com:8899,PT-BOT-004.201x14x100,Alive,stratum+tcp://stratum-zec.antpool.com:443,PT-BOT-004.201x14x100,Alive,stratum+tcp://stratum-zec.antpool.com:25,PT-BOT-004.201x14x100,Alive,20200703,"4440,4440",0,,,2023-05-18 19:26:06
10.201.14.103,YDFTB9DBAJDJB0993,,F8:AD:94:5B:D6:B8,,,,Z15-420K,Offline,,,Normal,420KH,0KH,0KH,stratum+tcp://stratum-zec.antpool.com:8899,PT-BOT-004.201x14x103,Alive,stratum+tcp://stratum-zec.antpool.com:443,PT-BOT-004.201x14x103,Alive,stratum+tcp://stratum-zec.antpool.com:25,PT-BOT-004.201x14x103,Alive,20200703,"4320,4320",0,,,2023-05-18 19:26:06
10.201.14.107,YDFTB9DBAJDJB0993,,A2:2F:5B:F4:CE:C6,,,,Z15-420K,Offline,,,Normal,420KH,0KH,0KH,stratum+tcp://stratum-zec.antpool.com:8899,PT-BOT-004.201x14x107,Alive,stratum+tcp://stratum-zec.antpool.com:443,PT-BOT-004.201x14x107,Alive,stratum+tcp://stratum-zec.antpool.com:25,PT-BOT-004.201x14x107,Alive,20200703,"4320,4320",0,,,2023-05-18 19:26:06
10.201.14.110,YDFTB9DBAJDJB0993,,AA:AD:9C:1A:80:61,,,,Z15-420K,Offline,,,Normal,420KH,0KH,0KH,stratum+tcp://stratum-zec.antpool.com:8899,PT-BOT-004.201x14x110,Alive,stratum+tcp://stratum-zec.antpool.com:443,PT-BOT-004.201x14x110,Alive,stratum+tcp://stratum-zec.antpool.com:25,PT-BOT-004.201x14x110,Alive,20200703,"4320,4320",0,,,2023-05-18 19:26:06
10.201.14.123,YDFTB9DBAJDJB0993,,54:4D:0F:2B:78:08,,,,Z15-420K,Offline,,,Normal,420KH,0KH,0KH,stratum+tcp://stratum-zec.antpool.com:8899,PT-BOT-004.201x14x123,Alive,stratum+tcp://stratum-zec.antpool.com:443,PT-BOT-004.201x14x123,Alive,stratum+tcp://stratum-zec.antpool.com:25,PT-BOT-004.201x14x123,Alive,20200703,"4440,4440",0,,,2023-05-18 19:26:06
10.201.14.124,YDFTB9DBAJDJB0993,,2A:71:A9:24:6D:74,,,,Z15-420K,Offline,,,Normal,420KH,0KH,0KH,stratum+tcp://stratum-zec.antpool.com:8899,PT-BOT-004.201x14x124,Alive,stratum+tcp://stratum-zec.antpool.com:443,PT-BOT-004.201x14x124,Alive,stratum+tcp://stratum-zec.antpool.com:25,PT-BOT-004.201x14x124,Alive,20200703,"4200,4080",0,,,2023-05-18 19:26:06
10.201.14.129,YDFTB9DBAJDJB0993,,4A:A7:C1:A0:65:82,,,,Z15-420K,Offline,,,Normal,420KH,0KH,0KH,stratum+tcp://stratum-zec.antpool.com:8899,PT-BOT-004.201x14x129,Alive,stratum+tcp://stratum-zec.antpool.com:443,PT-BOT-004.201x14x129,Alive,stratum+tcp://stratum-zec.antpool.com:25,PT-BOT-004.201x14x129,Alive,20200703,"4200,4200",0,,,2023-05-18 19:30:47
10.201.14.13,YDFTB9DBAJDJB0993,,E2:14:29:D0:8E:E1,,,,Z15-420K,Offline,,,Normal,420KH,0KH,0KH,stratum+tcp://stratum-zec.antpool.com:8899,PT-BOT-033.201x14x13,Alive,stratum+tcp://stratum-zec.antpool.com:443,PT-BOT-033.201x14x13,Alive,stratum+tcp://stratum-zec.antpool.com:25,PT-BOT-033.201x14x13,Alive,20200703,"4800,4800",0,,,2023-05-18 19:26:06
10.201.14.2,YDFTB9DBAJDJB0993,,E8:32:F5:19:33:92,,,,Z15-420K,Offline,,,Normal,420KH,0KH,0KH,stratum+tcp://stratum-zec.antpool.com:8899,PT-BOT-004.201x14x2,Alive,stratum+tcp://stratum-zec.antpool.com:443,PT-BOT-004.201x14x2,Alive,stratum+tcp://stratum-zec.antpool.com:25,PT-BOT-004.201x14x2,Alive,20200703,"4440,4440",0,,,2023-05-18 19:26:06
10.201.14.27,YDFTB9DBAJDJB0993,,BC:B3:36:97:E4:A8,,,,,Offline,,,Normal,0KH,0KH,0KH,stratum+tcp://stratum-zec.antpool.com:8899,PT-BOT-004.201x14x27,Alive,stratum+tcp://stratum-zec.antpool.com:443,PT-BOT-004.201x14x27,Alive,stratum+tcp://stratum-zec.antpool.com:25,PT-BOT-004.201x14x27,Alive,20200703,"4320,4320",0,,,2023-05-18 19:30:47
10.201.14.29,YDFTB9DBAJDJB0993,,32:C4:E7:FF:38:55,,,,Z15-420K,Offline,,,Normal,420KH,0KH,0KH,stratum+tcp://stratum-zec.antpool.com:8899,PT-BOT-004.201x14x29,Alive,stratum+tcp://stratum-zec.antpool.com:443,PT-BOT-004.201x14x29,Alive,stratum+tcp://stratum-zec.antpool.com:25,PT-BOT-004.201x14x29,Alive,20200703,"4440,4440",0,,,2023-05-18 19:26:06
10.201.14.38,YDFTB9DBAJDJB0993,,26:F2:D5:39:04:50,,,,Z15-420K,Offline,,,Normal,420KH,0KH,0KH,stratum+tcp://stratum-zec.antpool.com:8899,PT-BOT-004.201x14x38,Alive,stratum+tcp://stratum-zec.antpool.com:443,PT-BOT-004.201x14x38,Alive,stratum+tcp://stratum-zec.antpool.com:25,PT-BOT-004.201x14x38,Alive,20200703,"4320,4320",0,,,2023-05-18 19:26:06
10.201.14.39,YDFTB9DBAJDJB0993,,AC:C7:46:46:B9:DE,,,,Z15-420K,Offline,,,Normal,420KH,0KH,0KH,stratum+tcp://stratum-zec.antpool.com:8899,PT-BOT-004.201x14x39,Alive,stratum+tcp://stratum-zec.antpool.com:443,PT-BOT-004.201x14x39,Alive,stratum+tcp://stratum-zec.antpool.com:25,PT-BOT-004.201x14x39,Alive,20200703,"4080,4080",0,,,2023-05-18 19:26:06
10.201.14.97,YDFTB9DBAJDJB0993,,BC:E0:51:89:6F:D9,,,,Z15-420K,Offline,,,Normal,420KH,0KH,0KH,stratum+tcp://stratum-zec.antpool.com:8899,PT-BOT-004.201x14x97,Alive,stratum+tcp://stratum-zec.antpool.com:443,PT-BOT-004.201x14x97,Alive,stratum+tcp://stratum-zec.antpool.com:25,PT-BOT-004.201x14x97,Alive,20200703,"4560,4560",0,,,2023-05-18 19:26:06
10.201.17.1,YNAHDXABBJEAC069R,"YNAHYNSBBJEAC07A0,YNAHYNSBBJEAC0793,YNAHYNSBBJEAC0778",02:A1:59:9C:56:74,,,,S19j Pro-104T,Offline,,,Normal,104000GH,104629.53GH,105841.97GH,stratum+tcp://bs.poolbinance.com:3333,PhoenixUS.201x17x1,Alive,stratum+tcp://sha256.poolbinance.com:443,PhoenixUS.201x17x1,Alive,stratum+tcp://sha256.poolbinance.com:8888,PhoenixUS.201x17x1,Alive,20221226,"3750,4740,3810,3720",3,"41,41,40",20h26m32s,2023-05-18 19:23:09
10.201.17.10,YNAHDXABBJDBG10BB,"YNAHYNSBBJDBG32RZ,YNAHYNSBBJDBG32RV,YNAHYNSBBJDBG32S1",02:7E:7A:C3:A3:EA,,,,S19j Pro-104T,Offline,,,Normal,104000GH,105882.97GH,105852.7GH,stratum+tcp://bs.poolbinance.com:3333,PhoenixUS.201x17x10,Alive,stratum+tcp://sha256.poolbinance.com:443,PhoenixUS.201x17x10,Alive,stratum+tcp://sha256.poolbinance.com:8888,PhoenixUS.201x17x10,Alive,20220427,"4080,4020,3900,3990",3,"41,41,44",20h26m51s,2023-05-18 19:23:16
